,booth,total_ridership_Monday,total_ridership_Tuesday,total_ridership_Wednesday,total_ridership_Thursday,total_ridership_Friday,total_ridership_Saturday,total_ridership_Sunday
647,PROSPECT AV_C014,4765.051282051282,4722.5641025641025,4630.358974358975,4803.128205128205,5008.205128205128,2962.5897435897436,2283.5128205128203
648,PROSPECT AV_C015,2639.74358974359,2999.25641025641,3114.6666666666665,3227.5641025641025,3435.3333333333335,2106.3333333333335,1481.4358974358975
649,PROSPECT AV_R314,3648.5128205128203,3551.8205128205127,3556.974358974359,3625.923076923077,3537.0,3845.025641025641,3127.358974358974
650,PROSPECT AV_R315,3063.1794871794873,3124.4871794871797,3160.3846153846152,3201.3846153846152,3204.974358974359,1948.076923076923,1605.7179487179487
651,PROSPECT PARK_B012,3609.4102564102564,3658.5641025641025,3723.846153846154,3733.0,3870.1794871794873,4062.5128205128203,3147.5384615384614
652,PROSPECT PARK_B013,4176.51282051282,3957.641025641026,3926.4358974358975,4146.7692307692305,4676.641025641025,5686.102564102564,4685.871794871795
653,QUEENS PLAZA_N309A,14386.948717948719,15119.897435897436,15092.948717948719,15499.051282051281,14228.948717948719,9181.48717948718,6855.25641025641
654,QUEENS PLAZA_N310,6308.948717948718,6330.307692307692,6470.153846153846,6432.051282051282,6575.128205128205,3644.4615384615386,2949.0
655,QUEENSBORO PLZ_R509,7087.051282051282,6834.025641025641,7142.153846153846,7146.48717948718,7431.692307692308,7744.5641025641025,8162.48717948718
656,RALPH AV_N121B,7948.897435897436,7989.820512820513,8072.589743589743,8221.74358974359,8263.23076923077,6046.461538461538,5044.410256410257
657,RECTOR ST_A054,5864.897435897436,5866.974358974359,5992.128205128205,6147.051282051282,6127.307692307692,3751.0,2959.076923076923
658,RECTOR ST_A055,2119.076923076923,2261.6666666666665,2270.7179487179487,2321.128205128205,2429.5384615384614,1287.6666666666667,980.6410256410256
659,RECTOR ST_R102,3922.641025641026,4181.2307692307695,4268.51282051282,4256.666666666667,4534.384615384615,2478.8205128205127,1978.4871794871794
660,RECTOR ST_R103,2919.051282051282,2994.4871794871797,3083.3846153846152,3074.4615384615386,3101.6923076923076,3523.128205128205,3382.769230769231
661,RIT-MANHATTAN_TRAM1,2726.2820512820513,2638.128205128205,2694.3684210526317,2824.675675675676,2910.7837837837837,3006.2820512820513,2745.4102564102564
662,RIT-ROOSEVELT_TRAM2,2963.2051282051284,2950.7948717948716,2971.923076923077,3067.5128205128203,3142.3846153846152,2825.871794871795,2709.076923076923
663,ROCKAWAY AV_N122,5704.461538461538,5822.4358974358975,5983.846153846154,6159.641025641025,5978.923076923077,4162.538461538462,3409.153846153846
664,ROCKAWAY AV_N123B,2165.5641025641025,2243.8205128205127,2250.6666666666665,2322.6153846153848,2318.25641025641,1532.6923076923076,1259.5641025641025
665,ROCKAWAY AV_R629,8969.0,9274.48717948718,9444.205128205129,9603.102564102564,9504.435897435897,5444.538461538462,4033.846153846154
666,ROCKAWAY BLVD_N134,4876.51282051282,4920.076923076923,5115.820512820513,5160.358974358975,4993.7692307692305,3305.102564102564,2582.5128205128203
667,ROCKAWAY BLVD_N135,4136.025641025641,4085.2820512820513,4147.307692307692,4278.923076923077,4254.2307692307695,2382.3846153846152,1752.3076923076924
668,ROCKAWAY PARK B_N187,1325.5384615384614,1363.076923076923,1397.923076923077,1403.025641025641,1387.076923076923,925.2564102564103,696.974358974359
669,ROOSEVELT ISLND_N602,5601.74358974359,5197.48717948718,5095.717948717948,4970.461538461538,5245.410256410257,6086.2307692307695,6845.051282051282
670,SARATOGA AV_R628,7484.4358974358975,7568.153846153846,7750.358974358975,7606.307692307692,7580.794871794872,4025.025641025641,3234.4358974358975
671,SENECA AVE_K022,3568.871794871795,3780.7179487179487,4007.871794871795,4071.6153846153848,4286.7692307692305,2232.076923076923,1786.6410256410256
672,SHEEPSHEAD BAY_B027,7242.871794871795,7287.2307692307695,7541.5641025641025,8222.153846153846,8662.76923076923,8819.615384615385,7680.384615384615
673,SHEEPSHEAD BAY_B028,4107.538461538462,4231.333333333333,4293.076923076923,4422.153846153846,4074.974358974359,3058.2051282051284,2507.3846153846152
674,SHEPHERD AV_N127,4343.923076923077,4292.051282051282,4320.410256410257,4547.948717948718,4561.615384615385,3001.897435897436,2477.3333333333335
675,SIMPSON ST_R317,3689.923076923077,3791.923076923077,3782.3333333333335,3952.025641025641,3946.2051282051284,2514.3076923076924,1856.1025641025642
676,SIMPSON ST_R318,3351.230769230769,3052.4102564102564,3218.974358974359,3181.5897435897436,3513.0,4091.74358974359,3138.358974358974
677,SMITH-9 ST_N536,4226.538461538462,4441.74358974359,4674.076923076923,4728.871794871795,4627.641025641025,5390.025641025641,4741.2307692307695
678,SOUTH FERRY_R101,19220.20512820513,19296.384615384617,19463.17948717949,20199.69230769231,20266.871794871793,12586.358974358975,10118.307692307691
679,SPRING ST_N086,3533.8205128205127,3414.4615384615386,3363.5897435897436,3338.74358974359,3439.4102564102564,4031.128205128205,3806.923076923077
680,SPRING ST_N087,2449.3333333333335,2825.051282051282,2960.2820512820513,3019.948717948718,3126.7179487179487,2460.974358974359,1917.948717948718
681,SPRING ST_R215,4277.641025641025,3755.897435897436,3802.3333333333335,3192.4358974358975,3083.5897435897436,2802.102564102564,3874.897435897436
682,SPRING ST_R216,1432.4358974358975,1667.6923076923076,1698.974358974359,1623.871794871795,1405.3076923076924,1274.8974358974358,1897.3846153846155
683,ST LAWRENCE AV_R416,6759.48717948718,6813.025641025641,7023.25641025641,7043.102564102564,7063.641025641025,5157.179487179487,4233.846153846154
684,ST. GEORGE_S101,7071.333333333333,7202.333333333333,7188.2307692307695,7216.615384615385,6545.974358974359,1987.7179487179487,1368.179487179487
685,ST. GEORGE_S101A,5144.358974358975,6546.641025641025,6080.025641025641,5969.871794871795,6312.692307692308,2485.6666666666665,1706.128205128205
686,STEINWAY ST_N314,7703.333333333333,8099.282051282052,8298.205128205129,8338.897435897436,8734.48717948718,6919.2307692307695,5418.0
687,STEINWAY ST_N315,6116.641025641025,5898.358974358975,5858.974358974359,5401.358974358975,5145.2307692307695,6820.410256410257,6610.897435897436
688,STERLING ST_R636,4432.153846153846,4603.179487179487,4609.897435897436,4723.102564102564,5439.51282051282,5679.384615384615,4570.025641025641
689,SUTPHIN BLVD_N338,2016.948717948718,2072.2820512820513,2103.769230769231,2102.3846153846152,2001.3846153846155,1143.871794871795,853.2820512820513
690,SUTPHIN BLVD_N338B,5222.051282051282,5266.641025641025,5383.25641025641,5328.333333333333,5237.692307692308,2841.25641025641,2305.871794871795
691,SUTPHIN-ARCHER_N605,19270.589743589742,19442.871794871793,19630.846153846152,19437.76923076923,19858.51282051282,23623.74358974359,19564.79487179487
692,SUTTER AV-RUTLD_R627,10100.73076923077,10432.807692307691,10288.153846153846,10366.615384615385,10347.23076923077,5834.576923076923,4637.961538461538
693,SUTTER AV_H037,2714.230769230769,2514.5641025641025,2572.6153846153848,2536.4871794871797,2553.6153846153848,3067.230769230769,2706.6923076923076
694,THIRTY ST_PTH13,8829.615384615385,9287.153846153846,9365.76923076923,9189.871794871795,9123.589743589744,5691.461538461538,5247.179487179487
695,THIRTY THIRD ST_PTH17,13486.179487179486,12680.615384615385,13712.0,13203.0,16190.692307692309,15239.179487179486,13924.358974358975
696,TIMES SQ-42 ST_A021,5934.948717948718,6853.282051282052,7208.128205128205,7271.076923076923,7977.2307692307695,8211.666666666666,7643.2307692307695
697,TIMES SQ-42 ST_R143,6874.461538461538,7670.538461538462,7442.076923076923,7540.051282051282,8287.794871794871,11122.589743589744,8860.641025641025
698,TIMES SQ-42 ST_R145,7005.333333333333,7780.538461538462,8075.102564102564,8126.538461538462,9024.23076923077,7418.307692307692,7212.025641025641
699,TIMES SQ-42 ST_R147,12041.384615384615,11200.794871794871,10152.358974358975,9031.641025641025,8974.48717948718,10471.48717948718,11584.666666666666
700,TIMES SQ-42 ST_R148,7482.205128205128,7263.307692307692,7100.871794871795,7097.74358974359,7341.25641025641,7956.205128205128,7839.974358974359
701,TIMES SQ-42 ST_R151,11035.794871794871,10734.74358974359,8399.51282051282,7751.589743589743,7805.846153846154,8192.923076923076,9873.538461538461
702,TOMPKINSVILLE_S102,771.1282051282051,818.4102564102565,811.6410256410256,840.2564102564103,796.0,667.3076923076923,453.79487179487177
703,TREMONT AV_N213,13076.820512820514,13121.23076923077,13480.205128205129,13425.051282051281,13526.23076923077,10428.615384615385,8445.25641025641
704,TWENTY THIRD ST_PTH12,4819.25641025641,5373.948717948718,5180.589743589743,5591.25641025641,5865.358974358975,6969.051282051282,5444.7692307692305
705,UNION ST_C010,3814.871794871795,4159.205128205128,4207.384615384615,4300.128205128205,4478.358974358975,4127.5641025641025,3292.897435897436
706,UNION ST_C011,2569.846153846154,3015.923076923077,3140.0,3193.74358974359,3409.4615384615386,2678.3846153846152,2174.3333333333335
